departure,departure_state_1789_fr,destination_state_1789_fr,homeport,year,destination_ferme_direction,tonnage,flag,tonnage_class,destination_ferme_bureau,departure_ferme_bureau,departure_action,destination_action,homeport_state_1789_fr,destination,departure_ferme_direction
Dunkerque,France,Provinces-Unies,Leyde,1787,,80,Dutch,[51-100],,Dunkerque,out,in,Provinces-Unies,Rotterdam,Lille
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,Islande,Dunkerque,1787,,45,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,30,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,Grande-Bretagne,Southampton,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,190,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,France,Dunkerque,1787,Marseille,180,French,[101-200],Marseille,Dunkerque,out,in,France,Marseille,Lille
Dunkerque,France,Grande-Bretagne,Dunbarten [Dumbarton],1787,,85,British,[51-100],,Dunkerque,out,in,,Southampton,Lille
Dunkerque,France,Danemark,Warberg [Varberg],1787,,30,Swedish,[21-50],,Dunkerque,out,in,,Elseneur,Lille
Dunkerque,France,France,Gotteborg,1787,Nantes,80,Swedish,[51-100],Le Croisic,Dunkerque,out,in,Suède,Le Croisic,Lille
Dunkerque,France,,Thiomée,1787,,80,Danish,[51-100],,Dunkerque,out,in,,,Lille
Dunkerque,France,France,Papenburg,1787,Saint-Malo,90,Papenburg,[51-100],Morlaix,Dunkerque,out,in,,Morlaix,Lille
Dunkerque,France,Grande-Bretagne,Faversham,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hull,1787,,70,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Hull,Lille
Dunkerque,France,Grande-Bretagne,Leith,1787,,130,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Leith,Lille
Dunkerque,France,Danemark,Brème,1787,,55,Bremen,[51-100],,Dunkerque,out,in,Brême,Fleckfjord,Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Padstow,1787,,30,British,[21-50],,Dunkerque,out,in,Grande-Bretagne,Liverpool,Lille
Dunkerque,France,Provinces-Unies,Commer Fielt,1787,,108,Danish,[101-200],,Dunkerque,out,in,,Amsterdam,Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Saint Savinien,1787,La Rochelle,60,French,[51-100],Rochefort,Dunkerque,out,in,France,Rochefort,Lille
Dunkerque,France,Grande-Bretagne,Gravesand,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Gravelines,France,France,,1787,La Rochelle,112,French,[101-200],La Rochelle,Gravelines,out,in,,La Rochelle,Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Barmouth,1787,,105,British,[101-200],,Dunkerque,out,in,,Newry,Lille
Dunkerque,France,Grande-Bretagne,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Greenwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Pologne,Accummersyhl,1787,,150,Prussian,[101-200],,Dunkerque,out,in,,Dantzick,Lille
Dunkerque,France,Grande-Bretagne,Stockton,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whitby,1787,,70,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Whitby,Lille
Dunkerque,France,Danemark,Sogn,1787,,155,Danish/Norwegian,[101-200],,Dunkerque,out,in,Danemark,Sogn,Lille
Dunkerque,France,Danemark,Sogn,1787,,155,Danish/Norwegian,[101-200],,Dunkerque,out,in,Danemark,Sogn,Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,100,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Londres,Lille
Dunkerque,France,Danemark,Waberg,1787,,83,Danish,[51-100],,Dunkerque,out,in,,Elseneur,Lille
Dunkerque,France,Grande-Bretagne,Rochester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Rye,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hearing [Harwich],1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Salwats,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Ramsgate,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,Grande-Bretagne,Sallfert,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Chischester,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Provinces-Unies,Catwyck,1787,,12,Dutch,[1-20],,Dunkerque,out,in,Provinces-Unies,Catwyck,Lille
Dunkerque,France,Provinces-Unies,Catwyck,1787,,12,Dutch,[1-20],,Dunkerque,out,in,Provinces-Unies,Catwyck,Lille
Dunkerque,France,Grande-Bretagne,Ramsgate,1787,,120,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Pool,Lille
Dunkerque,France,Grande-Bretagne,Guernezé,1787,,45,British,[21-50],,Dunkerque,out,in,Grande-Bretagne,Guernesey,Lille
Dunkerque,France,Grande-Bretagne,Jersey,1787,,60,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Newcastle,Lille
Dunkerque,France,Grande-Bretagne,Ramsgate,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Barkin,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Greenwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Brightland,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Greenock,1787,,65,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Southampton,Lille
Dunkerque,France,France,Nantes,1787,La Rochelle,155,French,[101-200],Rochefort,Dunkerque,out,in,France,Rochefort,Lille
Dunkerque,France,France,Dunkerque,1787,Montpellier,220,French,[201-500],Sète,Dunkerque,out,in,France,Sette,Lille
Dunkerque,France,Provinces-Unies,Dockum,1787,,150,Dutch,[101-200],,Dunkerque,out,in,,Amsterdam,Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Provinces-Unies,Flessingue,1787,,50,Dutch,[21-50],,Dunkerque,out,in,Provinces-Unies,Flessingue,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Amsterdam,Lille
Dunkerque,France,France,Saint Briac,1787,Lorient,90,French,[51-100],Brest,Dunkerque,out,in,France,Brest,Lille
Dunkerque,France,France,Brest,1787,Lorient,80,French,[51-100],Brest,Dunkerque,out,in,France,Brest,Lille
Dunkerque,France,France,Brest,1787,Lorient,160,French,[101-200],Brest,Dunkerque,out,in,France,Brest,Lille
Dunkerque,France,Grande-Bretagne,Rye,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,90,French,[51-100],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Southend,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lyde [Hythe],1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hairn,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Whistable,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Portugal,Londres,1787,,100,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Madère,Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Dunkerque,1787,,300,French,[201-500],,Dunkerque,out,in,France,Cayes Saint Louis,Lille
Dunkerque,France,Grande-Bretagne,Londres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Cowes,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hull,1787,,80,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Hull,Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Maldon,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Le Conquet,1787,Lorient,70,French,[51-100],Brest,Dunkerque,out,in,France,Brest,Lille
Dunkerque,France,Provinces-Unies,Saint Valery sur Somme,1787,,280,French,[201-500],,Dunkerque,out,in,France,Amsterdam,Lille
Dunkerque,France,Grande-Bretagne,Harwich,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Douvres,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Maldon,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,110,French,[101-200],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Portugal,Dunkerque,1787,,110,French,[101-200],,Dunkerque,out,in,France,Setubal,Lille
Dunkerque,France,Grande-Bretagne,Sunderland,1787,,150,British,[101-200],,Dunkerque,out,in,Grande-Bretagne,Sunderland,Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Lee,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelston [Pegelsham],1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Pegelsham,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Le Havre,1787,,92,French,[51-100],,Dunkerque,out,in,France,Pool,Lille
Dunkerque,France,Hambourg,Hambourg,1787,,112,Hamburguese,[101-200],,Dunkerque,out,in,Hambourg,Hambourg,Lille
Dunkerque,France,Islande,Dunkerque,1787,,50,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Baie d' Authie,France,France,Dunkerque,1787,Lille,52,French,[51-100],Dunkerque,Abbeville,out,in,France,Dunkerque,Amiens
Dunkerque,France,Danemark,Frederichshald,1787,,150,Danish/Norwegian,[101-200],,Dunkerque,out,in,Danemark,Frédérickshall,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,90,French,[51-100],,Dunkerque,out,in,France,Schiedam,Lille
Saint Michel en l' Herm,France,France,Saint Malo,1787,Lille,75,French,[51-100],Dunkerque,Sables d'Olonne,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Waldon,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Walton,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hastings,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Folkestone,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,100,French,[51-100],,Dunkerque,out,in,France,Amsterdam,Lille
Dunkerque,France,Islande,Dunkerque,1787,,70,French,[51-100],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,35,French,[21-50],,Dunkerque,out,in,France,Rotterdam,Lille
Dunkerque,France,,Cootyes Plaat [Colijnsplaat],1787,,12,Dutch,[1-20],,Dunkerque,out,in,,,Lille
Le Tréport,France,France,,1787,Lille,6,French,[1-20],Dunkerque,Rouen,out,in,,Dunkerque,Rouen
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,40,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,France,Le Conquet,1787,Lorient,45,French,[21-50],Brest,Dunkerque,out,in,France,Le Conquet,Lille
Dunkerque,France,Islande,Dunkerque,1787,,30,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,30,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,France,Dunkerque,1787,Marseille,280,French,[201-500],Marseille,Dunkerque,out,in,France,Marseille,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,70,French,[51-100],,Dunkerque,out,in,France,Amsterdam,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,70,French,[51-100],,Dunkerque,out,in,France,Rotterdam,Lille
Dunkerque,France,Provinces-Unies,Dunkerque,1787,,70,French,[51-100],,Dunkerque,out,in,France,Schiedam,Lille
Saint Valery en Caux,France,France,,1787,Lille,14,French,[1-20],Dunkerque,Saint-Valéry-en-Caux,out,in,,Dunkerque,Rouen
Dunkerque,France,Grande-Bretagne,Deal,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Provinces-Unies,Papenburg,1787,,115,Papenburg,[101-200],,Dunkerque,out,in,,Flessingue,Lille
Dunkerque,France,Islande,Dunkerque,1787,,45,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Provinces-Unies,Groningue,1787,,75,Dutch,[51-100],,Dunkerque,out,in,Provinces-Unies,Flessingue,Lille
Dunkerque,France,France,Le Conquet,1787,Lorient,40,French,[21-50],Brest,Dunkerque,out,in,France,Brest,Lille
Dunkerque,France,France,Dunkerque,1787,Montpellier,230,French,[201-500],Sète,Dunkerque,out,in,France,Sette,Lille
Dunkerque,France,Grande-Bretagne,Hystre [Hythe],1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,France,Rochefort,1787,La Rochelle,98,French,[51-100],Rochefort,Dunkerque,out,in,France,Rochefort,Lille
Dunkerque,France,Danemark,Warbourg [Varberg],1787,,56,Swedish,[51-100],,Dunkerque,out,in,,Elseneur,Lille
Dunkerque,France,Suède,Warberg [Varberg],1787,,56,Swedish,[51-100],,Dunkerque,out,in,,Gothembourg,Lille
Dunkerque,France,Grande-Bretagne,Hythe,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Grande-Bretagne,Hythe,1787,,12,British,[1-20],,Dunkerque,out,in,Grande-Bretagne,Lisbonne [mais: Angleterre],Lille
Dunkerque,France,Islande,Dunkerque,1787,,50,French,[21-50],,Dunkerque,out,in,France,Islande,Lille
Dunkerque,France,Suède,Göteborg,1787,,93,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,Grande-Bretagne,Fowey,1787,,55,British,[51-100],,Dunkerque,out,in,Grande-Bretagne,Fowey,Lille
Dunkerque,France,Grande-Bretagne,Dunkerque,1787,,30,French,[21-50],,Dunkerque,out,in,France,Itlands [Shetland],Lille
Dunkerque,France,Grande-Bretagne,Arundel,1787,,12,British,[1-20],,Dunkerque,out,in,,Lisbonne [mais: Angleterre],Lille
